🇨🇳｜央视频道1,#genre#
cctv1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
cctv2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
cctv3,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
cctv4,https://node1.olelive.com:6443/live/CCTV4HD/hls.m3u8
cctv5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
cctv6,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
cctv7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
cctv8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
cctv9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
cctv10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
cctv11,https://node1.olelive.com:6443/live/CCTV11HD/hls.m3u8
cctv12,https://node1.olelive.com:6443/live/CCTV12HD/hls.m3u8
cctv13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8

🇨🇳｜央视频道2,#genre#
CCTV1 ,http://cfss.cc/api/ysp/cctv1.m3u8
CCTV2 ,http://cfss.cc/api/ysp/cctv2.m3u8
CCTV3 ,http://cfss.cc/api/ysp/cctv3.m3u8
CCTV4 ,http://cfss.cc/api/ysp/cctv4.m3u8
CCTV5 ,http://cfss.cc/api/ysp/cctv5.m3u8
CCTV6 ,http://cfss.cc/api/ysp/cctv6.m3u8
CCTV7 ,http://cfss.cc/api/ysp/cctv7.m3u8
CCTV8 ,http://cfss.cc/api/ysp/cctv8.m3u8
CCTV9 ,http://cfss.cc/api/ysp/cctv9.m3u8
CCTV10 ,http://cfss.cc/api/ysp/cctv10.m3u8
CCTV11 ,http://cfss.cc/api/ysp/cctv11.m3u8
CCTV12 ,http://cfss.cc/api/ysp/cctv12.m3u8
CCTV13 ,http://cfss.cc/api/ysp/cctv13.m3u8
